country,ai_overall_score,ai_talent,ai_infrastructure,ai_operating_environment,ai_research,ai_development,ai_government_strategy,ai_commercial,ai_scale,ai_intensity,hdi,expected_years_of_schooling,mean_years_of_schooling,internet_usage_pct,gdp_per_capita,rank_ai_overall,rank_hdi,rank_internet,rank_gdp_per_capita,highlight_group,is_top10_ai
United States,100,100,100,96,100,100,83,100,100,73,0.938,15.9,13.9,94.69380188,84534.0407841548,1.0,15.0,21.0,7.0,United States,True
China,54,26,66,70,54,69,66,48,57,33,0.797,15.5,8.0,92.0,13303.1481543868,2.0,54.0,32.0,47.0,China,True
Singapore,32,30,50,55,25,21,59,27,16,100,0.946,16.7,12.0,94.37757178,90674.066632628,3.0,11.0,22.0,4.0,Singapore,True
United Kingdom,30,32,27,90,23,12,65,25,24,49,0.946,17.8,13.5,95.4720993,53246.3676145108,4.0,11.0,18.0,17.0,Other Countries,True
France,28,25,31,70,18,31,59,19,23,47,0.92,16.1,11.8,88.65381638,46103.0840855884,5.0,23.0,42.0,21.0,Other Countries,True
South Korea,27,20,42,64,11,37,69,14,22,46,0.937,16.6,12.7,,,6.0,17.0,,,Other Countries,True
Germany,27,35,32,83,16,14,59,17,23,39,0.959,17.3,14.3,93.49999579,56103.7323182554,6.0,5.0,29.0,14.0,Other Countries,True
Canada,26,26,27,75,15,14,70,23,20,49,0.939,15.9,13.9,94.353302,54340.3477224733,8.0,14.0,24.0,15.0,Other Countries,True
Israel,26,27,25,47,17,19,35,29,14,74,0.919,14.9,13.5,88.18242225,54176.6844383302,8.0,24.0,45.0,16.0,Other Countries,True
India,24,42,15,90,10,13,55,14,24,19,0.685,13.0,6.9,64.9434967,2694.73780859961,10.0,72.0,67.0,67.0,India,True
Japan,20,15,46,54,8,13,54,13,19,24,0.925,15.5,12.7,85.54153081,32487.0778047567,11.0,20.0,49.0,27.0,Other Countries,False
Switzerland,20,30,34,50,18,11,18,12,10,63,0.97,16.7,13.9,97.3443985,103998.186685604,11.0,2.0,10.0,3.0,Other Countries,False
Saudi Arabia,20,4,23,59,3,7,100,21,18,30,0.9,16.9,11.6,100.0,35121.6628687742,11.0,31.0,1.0,25.0,Other Countries,False
Finland,19,17,33,81,9,13,39,13,12,51,0.948,19.5,13.0,93.72405196,53149.7671934051,14.0,10.0,27.0,18.0,Other Countries,False
Australia,18,17,22,77,14,16,29,11,14,38,0.958,20.7,12.9,96.13140106,64603.9856308464,15.0,7.0,12.0,10.0,Other Countries,False
Spain,18,17,26,74,6,10,66,7,15,29,0.918,17.8,10.8,95.7574516,35326.7683069278,15.0,25.0,14.0,24.0,Other Countries,False
Luxembourg,17,21,35,69,9,7,35,8,9,53,0.922,14.4,12.6,98.7606147,137781.681659123,17.0,22.0,6.0,1.0,Other Countries,False
United Arab Emirates,17,6,29,57,11,14,41,13,11,42,0.94,15.6,13.0,100.0,50273.5060469837,17.0,13.0,1.0,19.0,Other Countries,False
Denmark,16,17,25,75,7,5,44,9,11,37,0.962,18.7,13.0,99.76915157,71026.4832271897,19.0,4.0,4.0,9.0,Other Countries,False
Ireland,16,13,26,69,5,14,31,12,10,39,0.949,19.2,11.7,97.18769836,112894.953240805,19.0,9.0,11.0,2.0,Other Countries,False
Italy,16,16,23,100,7,2,53,5,13,24,0.915,16.7,10.8,89.2207202,40385.3413957669,19.0,26.0,40.0,23.0,Other Countries,False
Sweden,16,17,26,88,8,5,23,12,10,39,0.959,19.0,12.7,95.52930428,57117.4877440616,19.0,5.0,17.0,12.0,Other Countries,False
Norway,16,14,25,84,7,2,41,11,10,37,0.97,18.8,13.1,99.0,86785.4334489176,19.0,2.0,5.0,5.0,Other Countries,False
Belgium,14,16,20,66,6,6,27,9,10,29,0.951,19.0,12.7,95.77579144,56614.5679499036,24.0,8.0,13.0,13.0,Other Countries,False
Austria,13,15,22,61,9,3,33,6,9,31,0.93,16.3,12.4,94.91974877,58268.8787651601,25.0,19.0,20.0,11.0,Other Countries,False
Portugal,13,10,22,84,4,8,24,7,9,26,0.89,17.5,9.7,88.48704454,29292.242104753,25.0,34.0,44.0,32.0,Other Countries,False
Brazil,12,12,22,67,3,5,36,7,11,16,0.786,15.8,8.4,84.46347227,10310.5488778166,27.0,59.0,50.0,50.0,Other Countries,False
