HDI rank,Country,Human Development Index (HDI) ,Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank
1,Iceland,0.972,82.7,18.9,13.9,"69,117",12,3
2,Norway,0.970,83.3,18.8,13.1,"112,710",0,1
2,Switzerland,0.970,84.0,16.7,13.9,"81,949",5,2
4,Denmark,0.962,81.9,18.7,13.0,"76,008",4,4
5,Germany,0.959,81.4,17.3,14.3,"64,053",13,6
5,Sweden,0.959,83.3,19.0,12.7,"66,102",10,4
7,Australia,0.958,83.9,20.7,12.9,"58,277",14,8
8,"Hong Kong, China (SAR)",0.955,85.5,16.9,12.4,"69,436",4,9
8,Netherlands,0.955,82.2,18.6,12.7,"68,344",6,7
10,Belgium,0.951,82.1,19.0,12.7,"63,582",9,13
11,Ireland,0.949,82.4,19.2,11.7,"90,885",-6,10
12,Finland,0.948,81.9,19.5,13.0,"57,068",10,11
13,Singapore,0.946,83.7,16.7,12.0,"111,239",-10,14
13,United Kingdom,0.946,81.3,17.8,13.5,"54,372",13,11
15,United Arab Emirates,0.940,82.9,15.6,13.0,"71,142",-4,23
16,Canada,0.939,82.6,15.9,13.9,"54,688",9,16
17,Liechtenstein,0.938,83.6,15.4,12.4,"166,812",-16,15
17,New Zealand,0.938,82.1,19.3,12.9,"47,260",17,17
17,United States,0.938,79.3,15.9,13.9,"73,650",-7,18
20,Korea (Republic of),0.937,84.3,16.6,12.7,"49,726",11,19
21,Slovenia,0.931,81.6,17.5,13.0,"46,361",15,21
22,Austria,0.930,82.0,16.3,12.4,"63,479",-2,20
23,Japan,0.925,84.7,15.5,12.7,"47,775",10,23
24,Malta,0.924,83.3,15.9,12.4,"52,155",5,26
25,Luxembourg,0.922,82.2,14.4,12.6,"85,461",-19,22
26,France,0.920,83.3,16.1,11.8,"55,060",-2,27
27,Israel,0.919,82.4,14.9,13.5,"48,050",5,23
28,Spain,0.918,83.7,17.8,10.8,"46,008",9,28
29,Czechia,0.915,79.8,16.8,13.0,"45,889",9,28
29,Italy,0.915,83.7,16.7,10.8,"52,389",-1,32
29,San Marino,0.915,85.7,14.6,11.4,"64,706",-13,30
32,Andorra,0.913,84.0,14.5,11.6,"64,631",-15,37
32,Cyprus,0.913,81.6,16.2,12.6,"45,394",7,31
34,Greece,0.908,81.9,20.8,11.6,"35,761",17,36
35,Poland,0.906,78.6,16.7,13.2,"42,218",5,33
36,Estonia,0.905,79.2,16.0,13.6,"40,881",8,33
37,Saudi Arabia,0.900,78.7,16.9,11.6,"50,299",-7,37
38,Bahrain,0.899,81.3,15.9,11.1,"52,819",-11,33
39,Lithuania,0.895,76.0,16.5,13.6,"41,916",2,39
40,Portugal,0.890,82.4,17.5,9.7,"41,064",3,41
41,Croatia,0.889,78.6,16.3,12.1,"41,380",1,40
41,Latvia,0.889,76.2,16.5,13.4,"37,998",6,43
43,Qatar,0.886,82.4,13.1,10.8,"105,353",-39,41
44,Slovakia,0.880,78.3,14.9,13.1,"36,793",5,44
45,Chile,0.878,81.2,16.9,11.3,"28,047",16,45
46,Hungary,0.870,77.0,15.5,12.3,"37,236",2,46
47,Argentina,0.865,77.4,18.8,11.2,"25,876",20,47
48,Montenegro,0.862,77.1,15.5,12.8,"28,026",14,48
48,Uruguay,0.862,78.1,17.5,10.5,"28,650",12,50
50,Oman,0.858,80.0,13.4,11.9,"36,096",0,52
51,Türkiye,0.853,77.2,19.8,9.0,"34,507",1,48
52,Kuwait,0.852,80.4,15.9,7.6,"56,612",-29,53
53,Antigua and Barbuda,0.851,77.6,15.5,11.6,"27,387",10,51
54,Seychelles,0.848,72.9,18.2,11.2,"29,195",4,56
55,Bulgaria,0.845,75.6,15.3,11.5,"32,175",0,57
55,Romania,0.845,75.9,14.1,11.6,"39,374",-10,54
