Entity,Code,Year,AI patent applications per million people - Field: All
Argentina,ARG,2016,0.022778882
Argentina,ARG,2017,0.022579022
Argentina,ARG,2018,0.1567578
Argentina,ARG,2019,0.17788266
Argentina,ARG,2020,0.2212783
Argentina,ARG,2021,0.13241443
Asia,OWID_ASI,2016,2.389568
Asia,OWID_ASI,2017,4.4204783
Asia,OWID_ASI,2018,7.871037
Asia,OWID_ASI,2019,11.938254
Asia,OWID_ASI,2020,16.99279
Asia,OWID_ASI,2021,21.588726
Australia,AUS,2016,9.905481
Australia,AUS,2017,11.726152
Australia,AUS,2018,18.94927
Australia,AUS,2019,22.368105
Australia,AUS,2020,34.726826
Australia,AUS,2021,55.708767
Austria,AUT,2016,1.1444371
Austria,AUT,2017,1.2501734
Austria,AUT,2018,1.3572123
Austria,AUT,2019,0.67560905
Austria,AUT,2020,1.6813501
Austria,AUT,2021,1.6727904
Azerbaijan,AZE,2018,0.09960376
Belgium,BEL,2016,0.17648034
Belgium,BEL,2017,0.17579971
Belgium,BEL,2018,0.6999978
Belgium,BEL,2019,0.17405497
Belgium,BEL,2020,0.5199261
Belgium,BEL,2021,0.691393
Brazil,BRA,2016,0.3936657
Brazil,BRA,2017,0.40546462
Brazil,BRA,2018,0.73748004
Brazil,BRA,2019,0.95924205
Brazil,BRA,2020,0.74283224
Brazil,BRA,2021,0.51061726
Bulgaria,BGR,2017,0.4239898
Bulgaria,BGR,2018,0.5694157
Bulgaria,BGR,2019,0.4300788
Bulgaria,BGR,2020,1.7306887
Bulgaria,BGR,2021,0.5816302
Canada,CAN,2016,9.242616
Canada,CAN,2017,11.519079
Canada,CAN,2018,18.313448
Canada,CAN,2019,20.114902
Canada,CAN,2020,23.158394
Canada,CAN,2021,23.586588
Chile,CHL,2017,0.053882595
Chile,CHL,2018,0.052929137
Chile,CHL,2019,0.05208944
Chile,CHL,2021,0.051397175
China,CHN,2016,5.6742887
China,CHN,2017,10.495238
China,CHN,2018,19.483316
China,CHN,2019,30.855898
China,CHN,2020,46.486725
China,CHN,2021,61.031075
Colombia,COL,2017,0.041553196
Colombia,COL,2019,0.040073745
Colombia,COL,2021,0.039071526
Costa Rica,CRI,2019,0.20001805
Costa Rica,CRI,2020,0.19863644
