Entity,Code,Year,Estimated funding raised by privately held AI companies - Field: All
Albania,ALB,2016,2258017
Albania,ALB,2019,7419277
Albania,ALB,2020,5234901
Albania,ALB,2024,4319087
Albania,ALB,2025,0
Algeria,DZA,2021,0
Algeria,DZA,2022,0
Argentina,ARG,2016,1129009
Argentina,ARG,2017,5527293
Argentina,ARG,2018,1079102
Argentina,ARG,2019,2119793
Argentina,ARG,2020,3140941
Argentina,ARG,2021,19000000
Argentina,ARG,2022,16666245
Argentina,ARG,2023,620728001
Argentina,ARG,2024,484601541
Argentina,ARG,2025,7575037
Armenia,ARM,2021,0
Armenia,ARM,2023,2667885
Armenia,ARM,2024,0
Armenia,ARM,2025,841671
Asia,OWID_ASI,2016,10315752716
Asia,OWID_ASI,2017,10466481816
Asia,OWID_ASI,2018,20838534193
Asia,OWID_ASI,2019,29103702739
Asia,OWID_ASI,2020,64540048359
Asia,OWID_ASI,2021,41630000000
Asia,OWID_ASI,2022,30909403866
Asia,OWID_ASI,2023,27694428960
Asia,OWID_ASI,2024,34028357437
Asia,OWID_ASI,2025,47104945317
Australia,AUS,2016,120803934
Australia,AUS,2017,79593018
Australia,AUS,2018,318335021
Australia,AUS,2019,483312883
Australia,AUS,2020,567463276
Australia,AUS,2021,3245000000
Australia,AUS,2022,1013863261
Australia,AUS,2023,802144208
Australia,AUS,2024,2315030537
Australia,AUS,2025,1297014629
Austria,AUT,2016,6774052
Austria,AUT,2017,17687337
Austria,AUT,2018,42084969
Austria,AUT,2019,124007911
Austria,AUT,2020,90040298
Austria,AUT,2021,294000000
Austria,AUT,2022,81479422
Austria,AUT,2023,224991668
Austria,AUT,2024,824945583
Austria,AUT,2025,545402647
Azerbaijan,AZE,2022,0
Azerbaijan,AZE,2023,0
Azerbaijan,AZE,2025,0
Bahrain,BHR,2020,0
Bahrain,BHR,2021,195000000
Bahrain,BHR,2022,0
Bahrain,BHR,2024,0
Bahrain,BHR,2025,5891695
Bangladesh,BGD,2018,0
Bangladesh,BGD,2019,0
Bangladesh,BGD,2020,2093960
Bangladesh,BGD,2021,3000000
Bangladesh,BGD,2022,9259025
Bangladesh,BGD,2023,6225066
Bangladesh,BGD,2024,1727635
Bangladesh,BGD,2025,0
Barbados,BRB,2016,20322157
Belarus,BLR,2017,8843669
Belarus,BLR,2020,2093960
Belarus,BLR,2022,0
Belgium,BEL,2016,76772593
Belgium,BEL,2017,325004822
Belgium,BEL,2018,84169938
Belgium,BEL,2019,262854375
Belgium,BEL,2020,399946442
Belgium,BEL,2021,986000000
Belgium,BEL,2022,753684652
Belgium,BEL,2023,810147864
Belgium,BEL,2024,629722859
Belgium,BEL,2025,626203040
Belize,BLZ,2019,10598967
Belize,BLZ,2022,18518050
Bolivia,BOL,2022,925903
Bosnia and Herzegovina,BIH,2016,0
Bosnia and Herzegovina,BIH,2020,0
Bosnia and Herzegovina,BIH,2021,0
Bosnia and Herzegovina,BIH,2023,0
Bosnia and Herzegovina,BIH,2024,0
Bosnia and Herzegovina,BIH,2025,0
Botswana,BWA,2016,0
