Entity,Code,Year,AI scholarly publications - Field: All
Afghanistan,AFG,2017,1
Afghanistan,AFG,2018,2
Afghanistan,AFG,2019,8
Afghanistan,AFG,2020,11
Afghanistan,AFG,2021,16
Afghanistan,AFG,2022,47
Afghanistan,AFG,2023,45
Afghanistan,AFG,2024,72
Africa,OWID_AFR,2016,3254
Africa,OWID_AFR,2017,3437
Africa,OWID_AFR,2018,3991
Africa,OWID_AFR,2019,4618
Africa,OWID_AFR,2020,5981
Africa,OWID_AFR,2021,7482
Africa,OWID_AFR,2022,8698
Africa,OWID_AFR,2023,10130
Africa,OWID_AFR,2024,10801
Africa (CSET),,2016,3215
Africa (CSET),,2017,3372
Africa (CSET),,2018,3909
Africa (CSET),,2019,4518
Africa (CSET),,2020,5791
Africa (CSET),,2021,7186
Africa (CSET),,2022,8271
Africa (CSET),,2023,9525
Africa (CSET),,2024,10215
Albania,ALB,2016,15
Albania,ALB,2017,26
Albania,ALB,2018,21
Albania,ALB,2019,19
Albania,ALB,2020,18
Albania,ALB,2021,37
Albania,ALB,2022,37
Albania,ALB,2023,66
Albania,ALB,2024,69
Algeria,DZA,2016,520
Algeria,DZA,2017,512
Algeria,DZA,2018,703
Algeria,DZA,2019,638
Algeria,DZA,2020,699
Algeria,DZA,2021,812
Algeria,DZA,2022,973
Algeria,DZA,2023,931
Algeria,DZA,2024,1228
Andorra,AND,2016,2
Andorra,AND,2023,1
Andorra,AND,2024,1
Angola,AGO,2016,2
Angola,AGO,2017,2
Angola,AGO,2018,1
Angola,AGO,2019,6
Angola,AGO,2020,4
Angola,AGO,2021,2
Angola,AGO,2022,20
Angola,AGO,2023,28
Angola,AGO,2024,15
Antigua and Barbuda,ATG,2023,2
Antigua and Barbuda,ATG,2024,6
Argentina,ARG,2016,220
Argentina,ARG,2017,229
Argentina,ARG,2018,283
Argentina,ARG,2019,256
Argentina,ARG,2020,339
Argentina,ARG,2021,317
Argentina,ARG,2022,233
Argentina,ARG,2023,295
Argentina,ARG,2024,289
Armenia,ARM,2016,10
Armenia,ARM,2017,26
Armenia,ARM,2018,22
Armenia,ARM,2019,17
Armenia,ARM,2020,34
Armenia,ARM,2021,43
Armenia,ARM,2022,52
Armenia,ARM,2023,96
Armenia,ARM,2024,69
Asia,OWID_ASI,2016,56604
Asia,OWID_ASI,2017,65635
Asia,OWID_ASI,2018,83751
Asia,OWID_ASI,2019,105527
Asia,OWID_ASI,2020,125322
Asia,OWID_ASI,2021,161154
Asia,OWID_ASI,2022,177873
Asia,OWID_ASI,2023,225039
Asia,OWID_ASI,2024,247243
Asia (CSET),,2016,55610
Asia (CSET),,2017,64653
Asia (CSET),,2018,82254
Asia (CSET),,2019,103063
Asia (CSET),,2020,120691
Asia (CSET),,2021,153657
Asia (CSET),,2022,166294
Asia (CSET),,2023,210649
Asia (CSET),,2024,230450
Australia,AUS,2016,3060
Australia,AUS,2017,3231
Australia,AUS,2018,4029
Australia,AUS,2019,4998
Australia,AUS,2020,6056
Australia,AUS,2021,6762
Australia,AUS,2022,6338
Australia,AUS,2023,7771
Australia,AUS,2024,7605
Austria,AUT,2016,953
Austria,AUT,2017,1000
Austria,AUT,2018,1157
Austria,AUT,2019,1398
Austria,AUT,2020,1587
Austria,AUT,2021,1811
Austria,AUT,2022,1887
Austria,AUT,2023,1985
Austria,AUT,2024,1801
Azerbaijan,AZE,2016,34
Azerbaijan,AZE,2017,24
