Construct,Item,Count (Valid Responses),N/A Count,Mean,Std Dev,Skewness,Std Error of Skewness,Kurtosis,Std Error of Kurtosis
AI Literacy,L1,1205,0,4.559,0.727,-2.25,0.071,6.702,0.141
AI Literacy,L2,1205,0,4.529,0.718,-2.005,0.071,5.7,0.141
AI Literacy,L3,1205,0,3.954,1.018,-0.853,0.071,0.216,0.141
AI Literacy,L4,1205,0,3.23,1.361,-0.177,0.071,-1.219,0.141
AI Literacy,L5,1205,0,3.684,1.093,-0.526,0.071,-0.485,0.141
AI Readiness,RE1,1205,0,4.31,0.784,-1.423,0.071,2.946,0.141
AI Readiness,RE2,1205,0,4.31,0.76,-1.324,0.071,2.752,0.141
AI Readiness,RE3,1205,0,3.855,1.047,-0.816,0.071,0.144,0.141
AI Readiness,RE4,1205,0,3.877,0.943,-0.789,0.071,0.512,0.141
AI Readiness,RE5,1205,0,3.205,1.067,-0.094,0.071,-0.545,0.141
AI Readiness,RE6,1205,0,3.402,0.999,-0.363,0.071,-0.435,0.141
Relevance of AI,R1,1205,0,4.279,0.852,-1.404,0.071,2.32,0.141
Relevance of AI,R2,1205,0,3.929,0.908,-0.793,0.071,0.578,0.141
Relevance of AI,R3,1205,0,4.077,0.886,-1.068,0.071,1.293,0.141
Relevance of AI,R4,1205,0,3.548,1.042,-0.437,0.071,-0.342,0.141
Relevance of AI,R5,1205,0,3.347,0.997,-0.283,0.071,-0.099,0.141
Relevance of AI,R6,1205,0,3.603,1.019,-0.604,0.071,-0.036,0.141
Social Goods,SG1,1205,0,3.924,0.99,-0.963,0.071,0.636,0.141
Social Goods,SG2,1205,0,3.765,1.082,-0.765,0.071,-0.102,0.141
Social Goods,SG3,1205,0,3.822,0.92,-0.691,0.071,0.418,0.141
Social Goods,SG4,1205,0,3.594,1.009,-0.484,0.071,-0.105,0.141
Social Goods,SG5,1205,0,3.77,0.877,-0.684,0.071,0.854,0.141
Career Motivation,CM1,1205,0,4.048,0.89,-1.071,0.071,1.41,0.141
Career Motivation,CM2,1205,0,3.687,1.048,-0.514,0.071,-0.331,0.141
Career Motivation,CM3,1205,0,3.393,1.163,-0.347,0.071,-0.703,0.141
Career Motivation,CM4,1205,0,3.534,1.035,-0.456,0.071,-0.248,0.141
AI Anxiety,A1,1205,0,2.857,1.108,0.236,0.071,-0.765,0.141
AI Anxiety,A2,1205,0,2.918,1.088,0.047,0.071,-0.759,0.141
AI Anxiety,A3,1205,0,2.364,1.111,0.612,0.071,-0.319,0.141
AI Anxiety,A4,1205,0,2.406,1.17,0.515,0.071,-0.643,0.141
AI Anxiety,A5,1205,0,2.338,1.204,0.658,0.071,-0.497,0.141
Intrinsic Motivation,IM1,948,257,3.799,0.998,-0.712,0.08,0.016,0.159
Intrinsic Motivation,IM2,885,320,3.315,1.092,-0.2,0.082,-0.688,0.165
Intrinsic Motivation,IM3,877,328,3.552,1.053,-0.428,0.083,-0.366,0.165
Intrinsic Motivation,IM4,712,493,3.466,0.96,-0.338,0.092,-0.004,0.184
Satisfaction,S1,890,315,3.493,0.984,-0.502,0.082,0.124,0.164
Satisfaction,S2,692,513,3.549,0.944,-0.411,0.093,0.274,0.186
Satisfaction,S3,959,246,3.899,0.901,-1.061,0.079,1.564,0.158
Satisfaction,S4,689,516,3.44,0.923,-0.356,0.093,0.165,0.187
Satisfaction,S5,805,400,3.257,0.999,-0.246,0.086,-0.034,0.173
Confidence,C1,819,386,3.409,0.938,-0.291,0.086,-0.003,0.171
Confidence,C2,873,332,3.942,0.817,-0.928,0.083,1.675,0.166
Confidence,C3,857,348,3.386,1.002,-0.349,0.084,-0.239,0.167
Confidence,C4,894,311,3.89,0.821,-0.842,0.082,1.398,0.164
Confidence,C5,783,422,3.266,1.043,-0.229,0.088,-0.35,0.175
Behavioural Intention,BI1,881,324,3.518,1.001,-0.535,0.083,0.06,0.165
Behavioural Intention,BI2,1027,178,3.524,1.033,-0.529,0.076,-0.217,0.153
Behavioural Intention,BI3,1049,156,3.909,0.907,-1.033,0.076,1.344,0.151
Behavioural Intention,BI4,1051,154,3.914,0.948,-0.982,0.076,1.028,0.151
Behavioural Intention,BI5,1061,144,3.944,0.928,-0.916,0.075,0.837,0.15
